Nomor Perkara,No,Nama
112/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,LIE PUTRA SETIAWAN
113/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,LIE PUTRA SETIAWAN
114/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,Afni Carolina
115/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
116/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"IRENE PUTRI, SH."
117/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,FITROH R.
118/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,MILIA KURNIAWAN
119/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,MILIA KURNIAWAN
120/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
121/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
122/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"Yanuar Utomo, SH., M.Hum"
123/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"Yanuar Utomo, SH., M.Hum"
124/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
125/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"HERLANGGA WISNU M,SH."
86/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
87/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
88/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
89/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
90/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
91/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,DZAKIYUL FIKRI
92/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
93/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"Septina Abgretyaningrum, SH"
94/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ISKANDAR MARWANTO
95/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"NANO S, SH"
96/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
97/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
98/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,DIAN HAMISENA
99/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,FERDIAN ADI NUGROHO
100/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,FERDIAN ADI NUGROHO
101/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,Afni Carolina
102/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,M. Miftah W.
103/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"DODY SUKMONO, SH"
104/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"RONALD F.W., SH."
105/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,HERLAN J BUTAR BUTAR
66/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"RONALD F.W., SH."
67/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,PAIDI
68/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,DZAKIYUL FIKRI
69/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,Afni Carolina
70/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
71/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
72/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
73/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
74/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
75/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
76/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"I Made Suarnawan, SH., MH"
77/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
78/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,DZAKIYUL FIKRI
79/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"IRENE PUTRI, SH."
80/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"DODY SUKMONO, SH"
81/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,LIE PUTRA SETIAWAN
82/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ELLY SUPAINI
83/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ELLY SUPAINI
84/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
85/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ARIF RAHMAN
46/Pid.Sus-TPK/2016/PN JKT.PST,1,Nopita R.
47/Pid.Sus-TPK/2016/PN JKT.PST,1,"FEBBY SALAHUDDIN, S.Kom, SH"
48/Pid.Sus-TPK/2016/PN JKT.PST,1,ZAINAL ABIDIN
49/Pid.Sus-TPK/2016/PN JKT.PST,1,ZAINAL ABIDIN
50/Pid.Sus-TPK/2016/PN JKT.PST,1,ZAINAL ABIDIN
51/Pid.Sus-TPK/2016/PN JKT.PST,1,ADYANTANA MERU. H
52/Pid.Sus-TPK/2016/PN JKT.PST,1,ADYANTANA MERU. H
53/Pid.Sus-TPK/2016/PN JKT.PST,1,FITROH R.
54/Pid.Sus-TPK/2016/PN JKT.PST,1,Timmy Wolya
55/Pid.Sus-TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
56/Pid.Sus-TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
57/Pid.Sus-TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
58/Pid.Sus-TPK/2016/PN JKT.PST,1,FITROH R.
59/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,Amir Nurdianto
60/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,Afni Carolina
61/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"LISBETH HUTAHEAN,SH"
62/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"SANIN, SH"
63/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"MOCH. WIRAKSAJAYA, SH."
64/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
65/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"TUMPAL MANGASA, SH."
26/Pid.Sus-TPK/2016/PN JKT.PST,1,ELLY SUPAINI
27/Pid.Sus-TPK/2016/PN JKT.PST,1,ELLY SUPAINI
28/Pid.Sus-TPK/2016/PN JKT.PST,1,Afni Carolina
29/Pid.Sus-TPK/2016/PN JKT.PST,1,Amir Nurdianto
30/Pid.Sus-TPK/2016/PN JKT.PST,1,Amir Nurdianto
31/Pid.Sus-TPK/2016/PN JKT.PST,1,"IRENE PUTRI, SH."
32/Pid.Sus-TPK/2016/PN JKT.PST,1,KRISTANTI YUNI P
33/Pid.Sus-TPK/2016/PN JKT.PST,1,TASJRIFIN M.A HALIM
34/Pid.Sus-TPK/2016/PN JKT.PST,1,DZAKIYUL FIKRI
35/Pid.Sus-TPK/2016/PN JKT.PST,1,"H. LUKIMANTO, SH.,MH"
36/Pid.Sus-TPK/2016/PN JKT.PST,1,FITROH R.
37/Pid.Sus-TPK/2016/PN JKT.PST,1,HERLAN J BUTAR BUTAR
38/Pid.Sus-TPK/2016/PN JKT.PST,1,"TIKA SUHERTIKA, S.Kom., SH.,MH."
39/Pid.Sus-TPK/2016/PN JKT.PST,1,ERNY V. M.
40/Pid.Sus-TPK/2016/PN JKT.PST,1,"KRESNO ANTO WIBOWO, SH.,MH."
41/Pid.Sus-TPK/2016/PN JKT.PST,1,ISKANDAR MARWANTO
42/Pid.Sus-TPK/2016/PN JKT.PST,1,ISKANDAR MARWANTO
43/Pid.Sus-TPK/2016/PN JKT.PST,1,"RONALD F.W., SH."
44/Pid.Sus-TPK/2016/PN JKT.PST,1,Nopita R.
45/Pid.Sus-TPK/2016/PN JKT.PST,1,Nopita R.
6/PID.SUS/TPK/2016/PN JKT.PST,1,LISBETH HUTAHAEN
7/PID.SUS/TPK/2016/PN JKT.PST,1,LISBETH HUTAHAEN
8/Pid.Sus-TPK/2016/PN JKT.PST,1,AGUSTINUS H.
9/Pid.Sus-TPK/2016/PN JKT.PST,1,AGUSTINUS H.
10/Pid.Sus-TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
11/Pid.Sus-TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
12/Pid.Sus-TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
13/Pid.Sus-TPK/2016/PN JKT.PST,1,Amir Nurdianto
14/Pid.Sus-TPK/2016/PN JKT.PST,1,Amir Nurdianto
15/Pid.Sus-TPK/2016/PN JKT.PST,1,"HENDRA EKA SAPUTRA,SH"
16/Pid.Sus-TPK/2016/PN JKT.PST,1,PAIDI
17/Pid.Sus-TPK/2016/PN JKT.PST,1,"HERLANGGA WISNU M,SH."
18/Pid.Sus-TPK/2016/PN JKT.PST,1,"HERLANGGA WISNU M,SH."
19/Pid.Sus-TPK/2016/PN JKT.PST,1,"HERLANGGA WISNU M,SH."
20/Pid.Sus-TPK/2016/PN JKT.PST,1,ERNY V. M.
21/Pid.Sus-TPK/2016/PN JKT.PST,1,ERNY V. M.
22/Pid.Sus-TPK/2016/PN JKT.PST,1,"Salman, SH"
23/Pid.Sus-TPK/2016/PN JKT.PST,1,ARIF RAHMAN
24/Pid.Sus-TPK/2016/PN JKT.PST,1,"IRENE PUTRI, SH."
25/Pid.Sus-TPK/2016/PN JKT.PST,1,"DIDIT A, SH"
149/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
150/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
151/PID.SUS/TPK/2015/PN JKT.PST,1,YUDI KRISTINA
152/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
153/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
154/PID.SUS/TPK/2015/PN JKT.PST,1,PAIDI
155/PID.SUS/TPK/2015/PN JKT.PST,1,PAIDI
156/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK, SH"
157/PID.SUS/TPK/2015/PN JKT.PST,1,"MOCH. WIRAKSAJAYA, SH."
158/PID.SUS/TPK/2015/PN JKT.PST,1,"IRENE PUTRI, SH."
159/PID.SUS/TPK/2015/PN JKT.PST,1,"KRESNO ANTO WIBOWO, SH.,MH."
160/PID.SUS/TPK/2015/PN JKT.PST,1,MARTHA P. BERLIANA
161/PID.SUS/TPK/2015/PN JKT.PST,1,"IRENE PUTRI, SH."
162/PID.SUS/TPK/2015/PN JKT.PST,1,Donald T.J.S
163/PID.SUS/TPK/2015/PN JKT.PST,1,Donald T.J.S
1/PID.SUS/TPK/2016/PN JKT.PST,1,FITROH R. 
2/PID.SUS/TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
3/PID.SUS/TPK/2016/PN JKT.PST,1,"FAROUK FAHROZI, SH"
4/PID.SUS/TPK/2016/PN JKT.PST,1,"SANIN, SH"
5/PID.SUS/TPK/2016/PN JKT.PST,1,LISBETH HUTAHAEN
129/PID.SUS/TPK/2015/PN JKT.PST,1,ELLY SUPAINI
130/PID.SUS/TPK/2015/PN JKT.PST,1,ELLY SUPAINI
131/PID.SUS/TPK/2015/PN JKT.PST,1,ARIF RAHMAN
132/PID.SUS/TPK/2015/PN JKT.PST,1,ARIF RAHMAN
133/PID.SUS/TPK/2015/PN JKT.PST,1,ARIF RAHMAN
134/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
135/PID.SUS/TPK/2015/PN JKT.PST,1,ERNY V. M.
136/PID.SUS/TPK/2015/PN JKT.PST,1,ERNY V. M.
137/PID.SUS/TPK/2015/PN JKT.PST,1,TASJRIFIN MULYANA
138/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
139/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
140/PID.SUS/TPK/2015/PN JKT.PST,1,"VICTOR ANTONIUS S, SH.,MH."
141/PID.SUS/TPK/2015/PN JKT.PST,1,ELLY SUPAINI
142/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
143/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
144/PID.SUS/TPK/2015/PN JKT.PST,1,YUDI KRISTINA
145/PID.SUS/TPK/2015/PN JKT.PST,1,AGUSTINUS H.
146/PID.SUS/TPK/2015/PN JKT.PST,1,AGUSTINUS H.
147/PID.SUS/TPK/2015/PN JKT.PST,1,AGUSTINUS H.
148/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
109/PID.SUS/TPK/2015/PN JKT.PST,1,"PULUNG RINANDORO, SH."
110/PID.SUS/TPK/2015/PN JKT.PST,1,"DODY SUKMONO, SH"
111/PID.SUS/TPK/2015/PN JKT.PST,1,Sugeng Sumarno
112/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
113/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
114/PID.SUS/TPK/2015/PN JKT.PST,1,Bertha W.
115/PID.SUS/TPK/2015/PN JKT.PST,1,RONALD T.M
116/PID.SUS/TPK/2015/PN JKT.PST,1,RONALD T.M
117/PID.SUS/TPK/2015/PN JKT.PST,1,RONALD T.M
118/PID.SUS/TPK/2015/PN JKT.PST,1,Irwan Setiawan
119/PID.SUS/TPK/2015/PN JKT.PST,1,"KRESNO ANTO WIBOWO, SH.,MH."
120/PID.SUS/TPK/2015/PN JKT.PST,1,DZAKIYUL FIKRI
122/PID.SUS/TPK/2015/PN JKT.PST,1,DZAKIYUL FIKRI
123/PID.SUS/TPK/2015/PN JKT.PST,1,"RINI TRININGSIH, SH."
124/PID.SUS/TPK/2015/PN JKT.PST,1,KRISTANTI YUNI P
121/PID.SUS/TPK/2015/PN JKT.PST,1,DZAKIYUL FIKRI
125/PID.SUS/TPK/2015/PN JKT.PST,1,Irwan Setiawan
126/PID.SUS/TPK/2015/PN JKT.PST,1,RISMA A
127/PID.SUS/TPK/2015/PN JKT.PST,1,"SURYA NELLI, SH."
128/PID.SUS/TPK/2015/PN JKT.PST,1,ELLY SUPAINI
89/PID.SUS/TPK/2015/PN JKT.PST,1,YUDI KRISTINA
90/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
91/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
92/PID.SUS/TPK/2015/PN JKT.PST,1,YUDI KRISTINA
93/PID.SUS/TPK/2015/PN JKT.PST,1,"SUPARDI, SH."
94/PID.SUS/TPK/2015/PN JKT.PST,1,DASTER SITOHANG
95/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
96/PID.SUS/TPK/2015/PN JKT.PST,1,REINHART MARBUN
97/PID.SUS/TPK/2015/PN JKT.PST,1,ERNY V. M.
98/PID.SUS/TPK/2015/PN JKT.PST,1,SURMA
99/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
100/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
101/PID.SUS/TPK/2015/PN JKT.PST,1,ARIF RAHMAN
102/PID.SUS/TPK/2015/PN JKT.PST,1,PAIDI
103/PID.SUS/TPK/2015/PN JKT.PST,1,FITROH R. 
104/PID.SUS/TPK/2015/PN JKT.PST,1,RISMA A
105/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
106/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
107/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
108/PID.SUS/TPK/2015/PN JKT.PST,1,Nopita R.
69/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
70/PID.SUS/TPK/2015/PN JKT.PST,1,ARIF RAHMAN
71/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
72/PID.SUS/TPK/2015/PN JKT.PST,1,"RINI TRININGSIH, SH."
73/PID.SUS/TPK/2015/PN JKT.PST,1,SRI KUNCORO
74/PID.SUS/TPK/2015/PN JKT.PST,1,"TIKA SUHERTIKA, S.Kom., SH.,MH."
75/PID.SUS/TPK/2015/PN JKT.PST,1,"SURYA NELLI, SH."
76/PID.SUS/TPK/2015/PN JKT.PST,1,"PULUNG RINANDORO, SH."
77/PID.SUS/TPK/2015/PN JKT.PST,1,TRIONO RAHYUDI
78/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
79/PID.SUS/TPK/2015/PN JKT.PST,1,"HAERUDIN, SH.,MH."
80/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
81/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
82/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
83/PID.SUS/TPK/2015/PN JKT.PST,1,"SUKIMAN, SH"
84/PID.SUS/TPK/2015/PN JKT.PST,1,ARIF RAHMAN
85/PID.SUS/TPK/2015/PN JKT.PST,1,IMMANUEL RICHENDRY
86/PID.SUS/TPK/2015/PN JKT.PST,1,"ROLAND H, SH"
87/PID.SUS/TPK/2015/PN JKT.PST,1,"ROLAND H, SH"
88/PID.SUS/TPK/2015/PN JKT.PST,1,"ROLAND H, SH"
49/PID.SUS/TPK/2015/PN JKT.PST,1,RISMA A
50/PID.SUS/TPK/2015/PN JKT.PST,1,TOLHAS B.H
51/PID.SUS/TPK/2015/PN JKT.PST,1,TOLHAS B.H
52/PID.SUS/TPK/2015/PN JKT.PST,1,TOLHAS B.H
53/PID.SUS/TPK/2015/PN JKT.PST,1,TOLHAS B.H
54/PID.SUS/TPK/2015/PN JKT.PST,1,HERLAN J BUTAR BUTAR
55/PID.SUS/TPK/2015/PN JKT.PST,1,RONALD T.M
56/PID.SUS/TPK/2015/PN JKT.PST,1,YUDI KRISTINA
57/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
58/PID.SUS/TPK/2015/PN JKT.PST,1,"ROLANDO R., SH."
59/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
60/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
61/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
62/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
63/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
64/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
65/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
66/PID.SUS/TPK/2015/PN JKT.PST,1,"LISBETH HUTAHEAN,SH"
67/PID.SUS/TPK/2015/PN JKT.PST,1,FITROH R. 
68/PID.SUS/TPK/2015/PN JKT.PST,1,AGUS KURNIAWAN
29/PID.SUS/TPK/2015/PN JKT.PST,1,"PULUNG RINANDORO, SH."
30/PID.SUS/TPK/2015/PN JKT.PST,1,AGUSTINUS H.
31/PID.SUS/TPK/2015/PN JKT.PST,1,"IBNU FIRMAN IDE, SH."
32/PID.SUS/TPK/2015/PN JKT.PST,1,"DODY SUKMONO, SH"
33/PID.SUS/TPK/2015/PN JKT.PST,1,ASEP SONTANI
34/PID.SUS/TPK/2015/PN JKT.PST,1,"IRENE PUTRI, SH."
35/PID.SUS/TPK/2015/PN JKT.PST,1,RATNA ANDAMARI
36/PID.SUS/TPK/2015/PN JKT.PST,1,AGUS ISTIQLAL
37/PID.SUS/TPK/2015/PN JKT.PST,1,ERNY V. M.
38/PID.SUS/TPK/2015/PN JKT.PST,1,"ROLAND H, SH"
39/PID.SUS/TPK/2015/PN JKT.PST,1,"TUMPAL MANGASA, SH."
40/PID.SUS/TPK/2015/PN JKT.PST,1,ASEP SONTANI
41/PID.SUS/TPK/2015/PN JKT.PST,1,K.MS. RONI
42/PID.SUS/TPK/2015/PN JKT.PST,1,K.MS. RONI
43/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
44/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
45/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
46/PID.SUS/TPK/2015/PN JKT.PST,1,Sugeng Sumarno
47/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
48/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
9/PID.SUS/TPK/2015/PN JKT.PST,1,Sinta Dewi H.
10/PID.SUS/TPK/2015/PN JKT.PST,1,Sinta Dewi H.
11/PID.SUS/TPK/2015/PN JKT.PST,1,"PULUNG RINANDORO, SH."
12/PID.SUS/TPK/2015/PN JKT.PST,1,TITIK UTAMI
13/PID.SUS/TPK/2015/PN JKT.PST,1,ERNI MARAMBA
14/PID.SUS/TPK/2015/PN JKT.PST,1,"T.M PAKPAHAN, SH., MH."
15/PID.SUS/TPK/2015/PN JKT.PST,1,TRIONO RAHYUDI
16/PID.SUS/TPK/2015/PN JKT.PST,1,"VICTOR ANTONIUS S, SH.,MH."
17/PID.SUS/TPK/2015/PN JKT.PST,1,Nopita R.
18/PID.SUS/TPK/2015/PN JKT.PST,1,"DODY SUKMONO, SH"
19/PID.SUS/TPK/2015/PN JKT.PST,1,BAMBANG SUBIYANTO
20/PID.SUS/TPK/2015/PN JKT.PST,1,BAMBANG SUBIYANTO
21/PID.SUS/TPK/2015/PN JKT.PST,1,SURMA
22/PID.SUS/TPK/2015/PN JKT.PST,1,TITIK UTAMI
23/PID.SUS/TPK/2015/PN JKT.PST,1,BAMBANG SUBIYANTO
24/PID.SUS/TPK/2015/PN JKT.PST,1,ELLY SUPAINI
25/PID.SUS/TPK/2015/PN JKT.PST,1,"TIKA SUHERTIKA, S.Kom., SH.,MH."
26/PID.SUS/TPK/2015/PN JKT.PST,1,"T.M PAKPAHAN, SH., MH."
27/PID.SUS/TPK/2015/PN JKT.PST,1,BAMBANG SUBIYANTO
28/PID.SUS/TPK/2015/PN JKT.PST,1,ASEP SONTANI
109/PID.SUS/TPK/2014/PN JKT.PST,1,DASTER SITOHANG
110/PID.SUS/TPK/2014/PN JKT.PST,1,Bertha W.
111/PID.SUS/TPK/2014/PN JKT.PST,1,"PULUNG RINANDORO, SH."
112/PID.SUS/TPK/2014/PN JKT.PST,1,"RINI TRININGSIH, SH."
113/PID.SUS/TPK/2014/PN JKT.PST,1,"HERLANGGA WISNU M,SH."
114/PID.SUS/TPK/2014/PN JKT.PST,1,K.MS. RONI
115/PID.SUS/TPK/2014/PN JKT.PST,1,"HERLANGGA WISNU M,SH."
116/PID.SUS/TPK/2014/PN JKT.PST,1,"KRESNO ANTO WIBOWO, SH.,MH."
118/PID.SUS/TPK/2014/PN JKT.PST,1,HERLAN J BUTAR BUTAR
119/PID.SUS/TPK/2014/PN JKT.PST,1,HERLAN J BUTAR BUTAR
117/PID.SUS/TPK/2014/PN JKT.PST,1,FITROH R. 
120/PID.SUS/TPK/2014/PN JKT.PST,1,Nopita R.
1/PID.SUS/TPK/2015/PN JKT.PST,1,FATONI HATAM
2/PID.SUS/TPK/2015/PN JKT.PST,1,Juli Isnur
3/PID.SUS/TPK/2015/PN JKT.PST,1,Juli Isnur
4/PID.SUS/TPK/2015/PN JKT.PST,1,PAIDI
5/PID.SUS/TPK/2015/PN JKT.PST,1,"FAROUK FAHROZI, SH"
6/PID.SUS/TPK/2015/PN JKT.PST,1,ALFONSIUS G. LOE MAU
7/PID.SUS/TPK/2015/PN JKT.PST,1,ALFONSIUS G. LOE MAU
8/PID.SUS/TPK/2015/PN JKT.PST,1,MUNGKI HADIPRATIKTO
90/PID.SUS/TPK/2014/PN JKT.PST,1,FITROH R. 
89/PID.SUS/TPK/2014/PN JKT.PST,1,DASTER SITOHANG
91/PID.SUS/TPK/2014/PN JKT.PST,1,IMMANUEL RICHENDRY
92/PID.SUS/TPK/2014/PN JKT.PST,1,IMMANUEL RICHENDRY
93/PID.SUS/TPK/2014/PN JKT.PST,1,IMMANUEL RICHENDRY
95/PID.SUS/TPK/2014/PN JKT.PST,1,Juli Isnur
94/PID.SUS/TPK/2014/PN JKT.PST,1,Juli Isnur
96/PID.SUS/TPK/2014/PN JKT.PST,1,TOLHAS B.H
97/PID.SUS/TPK/2014/PN JKT.PST,1,"RENHART M. MARBUN, SH"
98/PID.SUS/TPK/2014/PN JKT.PST,1,FITRI ZULFAHMI
99/PID.SUS/TPK/2014/PN JKT.PST,1,REINHART MARBUN
100/PID.SUS/TPK/2014/PN JKT.PST,1,ERNY V. M.
101/PID.SUS/TPK/2014/PN JKT.PST,1,IMMANUEL RICHENDRY
102/PID.SUS/TPK/2014/PN JKT.PST,1,Nopita R.
103/PID.SUS/TPK/2014/PN JKT.PST,1,Nopita R.
104/PID.SUS/TPK/2014/PN JKT.PST,1,ELLY SUPAINI
108/PID.SUS/TPK/2014/PN JKT.PST,1,"H. LUKIMANTO, SH.,MH"
107/PID.SUS/TPK/2014/PN JKT.PST,1,"H. LUKIMANTO, SH.,MH"
106/PID.SUS/TPK/2014/PN JKT.PST,1,TRIONO RAHYUDI
105/PID.SUS/TPK/2014/PN JKT.PST,1,"H. LUKIMANTO, SH.,MH"
72/PID.SUS/TPK/2014/PN.JKT.PST,1,K.MS. RONI
72/PID.SUS/TPK/2014/PN.JKT.PST,2,"HAERUDIN, SH.,MH."
72/PID.SUS/TPK/2014/PN.JKT.PST,3,NI NENGAH GINA SARASWATI
72/PID.SUS/TPK/2014/PN.JKT.PST,4,"HENDRA EKA SAPUTRA,SH"
71/PID.SUS/TPK/2014/PN.JKT.PST,1,LISBETH HUTAHAEN
71/PID.SUS/TPK/2014/PN.JKT.PST,2,DIRJA
71/PID.SUS/TPK/2014/PN.JKT.PST,3,MARTHA P. BERLIANA
71/PID.SUS/TPK/2014/PN.JKT.PST,4,HERLAN J. B
71/PID.SUS/TPK/2014/PN.JKT.PST,5,"ARIEF SETYANUGRAHA, SH"
71/PID.SUS/TPK/2014/PN.JKT.PST,6,LENNY SEBAYANG
71/PID.SUS/TPK/2014/PN.JKT.PST,7,Ella Angelia
71/PID.SUS/TPK/2014/PN.JKT.PST,8,ARDHI H
71/PID.SUS/TPK/2014/PN.JKT.PST,9,ABDUL KADIR S.
70/PID.SUS/TPK/2014/PN.JKT.PST,1,LISBETH HUTAHAEN
70/PID.SUS/TPK/2014/PN.JKT.PST,2,DIRJA
70/PID.SUS/TPK/2014/PN.JKT.PST,3,MARTHA P. BERLIANA
70/PID.SUS/TPK/2014/PN.JKT.PST,4,HERLAN J. B
70/PID.SUS/TPK/2014/PN.JKT.PST,5,ARIF SETIA N.
70/PID.SUS/TPK/2014/PN.JKT.PST,6,Lenny Sebayang
70/PID.SUS/TPK/2014/PN.JKT.PST,7,Ella Angelia
70/PID.SUS/TPK/2014/PN.JKT.PST,8,ARDHI H
70/PID.SUS/TPK/2014/PN.JKT.PST,9,ABDUL KADIR S.
